"","PCON11CD","PCON11NM","RegionID","RegionNM","Population","Mean_Age"
"1","E14000538","Aylesbury","E12000008","South East","125,629",38.5892588494695
"2","E14000545","Basingstoke","E12000008","South East","115,155",38.4614389301376
"3","E14000626","Chatham and Aylesford","E12000008","South East","102,672",38.2478085553997
"4","E14000711","Gillingham and Rainham","E12000008","South East","102,638",39.2088797521386
"5","E14000755","Hove","E12000008","South East","104,001",39.38712127768
"6","E14000822","Milton Keynes South","E12000008","South East","136,386",37.3834044550027
"7","E14000883","Portsmouth North","E12000008","South East","99,479",39.1281375968797
"8","E14000890","Reading West","E12000008","South East","103,811",38.5482944967296
"9","E14000898","Rochester and Strood","E12000008","South East","114,121",39.0875299024719
"10","E14001056","Wycombe","E12000008","South East","111,461",38.0566655601511
"11","E14000948","South Thanet","E12000008","South East","101,441",43.3383543143305
"12","E14000736","Havant","E12000008","South East","96,503",43.0961213641027
"13","E14000735","Hastings and Rye","E12000008","South East","111,612",43.171083754435
"14","E14000699","Fareham","E12000008","South East","101,964",43.5029029853674
"15","E14000682","East Worthing and Shoreham","E12000008","South East","100,058",42.9014971316636
"16","E14000670","Dover","E12000008","South East","103,611",43.2395112488056
"17","E14000631","Chesham and Amersham","E12000008","South East","96,046",42.6665556087708
"18","E14000608","Buckingham","E12000008","South East","108,134",42.5070560600736
"19","E14000550","Beaconsfield","E12000008","South East","102,703",43.085167911356
"20","E14000694","Epsom and Ewell","E12000008","South East","111,324",41.1973698393877
"21","E14000697","Esher and Walton","E12000008","South East","114,375",40.6048
"22","E14000803","Maidenhead","E12000008","South East","107,081",41.2979146627319
"23","E14000830","Newbury","E12000008","South East","112,006",41.0539703230184
"24","E14000901","Romsey and Southampton North","E12000008","South East","91,926",41.7894610882666
"25","E14000997","Tonbridge and Malling","E12000008","South East","108,122",41.0296701873809
"26","E14001004","Tunbridge Wells","E12000008","South East","108,565",41.3024455395385
"27","E14001041","Winchester","E12000008","South East","102,140",41.7738594086548
"28","E14001042","Windsor","E12000008","South East","106,936",40.762110047131
"29","E14001048","Wokingham","E12000008","South East","113,796",39.3608562691131
"30","E14001047","Woking","E12000008","South East","108,025",39.8552649849572
"31","E14001015","Wantage","E12000008","South East","123,146",40.3883276760918
"32","E14000927","Sittingbourne and Sheppey","E12000008","South East","120,685",39.8800762315118
"33","E14000874","Oxford West and Abingdon","E12000008","South East","109,935",41.0016464274344
"34","E14000804","Maidstone and The Weald","E12000008","South East","110,586",40.5941710523936
"35","E14000539","Banbury","E12000008","South East","125,951",39.9838905606148
"36","E14000681","East Surrey","E12000008","South East","113,899",41.682481847953
"37","E14000700","Faversham and Mid Kent","E12000008","South East","100,796",41.8928330489305
"38","E14000753","Horsham","E12000008","South East","115,079",41.6393955456686
"39","E14000817","Mid Sussex","E12000008","South East","114,423",41.795023727747
"40","E14000918","Sevenoaks","E12000008","South East","97,964",41.8761892123637
"41","E14000983","Surrey Heath","E12000008","South East","109,548",41.7577043852923
"42","E14001023","Wealden","E12000008","South East","109,997",44.3896742638436
"43","E14000824","Mole Valley","E12000008","South East","97,186",44.3327639783508
"44","E14000811","Meon Valley","E12000008","South East","95,940",44.3216593704399
"45","E14000742","Henley","E12000008","South East","100,513",43.9753564215574
"46","E14000704","Folkestone and Hythe","E12000008","South East","118,368",44.4514902676399
"47","E14000576","Bognor Regis and Littlehampton","E12000008","South East","107,956",44.5778557931009
"48","E14000713","Gosport","E12000008","South East","99,107",42.7417639520922
"49","E14000844","North East Hampshire","E12000008","South East","102,403",41.9179809185278
"50","E14000857","North West Hampshire","E12000008","South East","109,823",41.8850969286944
"51","E14000953","South West Surrey","E12000008","South East","107,122",42.2695431377308
"52","E14001046","Witney","E12000008","South East","110,643",42.7801578048318
"53","E14000821","Milton Keynes North","E12000008","South East","133,071",37.6386515469186
"54","E14000659","Dartford","E12000008","South East","118,548",38.0475841009549
"55","E14000652","Crawley","E12000008","South East","112,409",37.54863044774
"56","E14000597","Brighton, Kemptown","E12000008","South East","96,740",39.7435187099442
"57","E14000530","Aldershot","E12000008","South East","105,218",39.0457526278774
"58","E14000586","Bracknell","E12000008","South East","112,672",38.9765247798921
"59","E14000715","Gravesham","E12000008","South East","106,939",39.4604681173379
"60","E14000907","Runnymede and Weybridge","E12000008","South East","111,844",39.6665355316333
"61","E14000959","Spelthorne","E12000008","South East","99,844",40.9363406914787
"62","E14000893","Reigate","E12000008","South East","107,022",40.3609257909589
"63","E14000685","Eastleigh","E12000008","South East","112,043",40.7507296305883
"64","E14000536","Ashford","E12000008","South East","124,660",40.5271137493984
"65","E14000680","East Hampshire","E12000008","South East","100,345",43.6409985549853
"66","E14000684","Eastbourne","E12000008","South East","111,277",44.5009301113438
"67","E14000852","North Thanet","E12000008","South East","99,791",43.6396568828852
"68","E14000930","Slough","E12000008","South East","142,991",34.3668692435188
"69","E14000889","Reading East","E12000008","South East","115,566",36.4318311614143
"70","E14000619","Canterbury","E12000008","South East","120,604",39.236542734901
"71","E14000955","Southampton, Itchen","E12000008","South East","110,244",36.8136678640107
"72","E14000956","Southampton, Test","E12000008","South East","112,165",35.5025007801007
"73","E14001055","Worthing West","E12000008","South East","100,111",46.504939517136
"74","E14000884","Portsmouth South","E12000008","South East","115,426",35.2195086029144
"75","E14000873","Oxford East","E12000008","South East","121,479",34.1498119016455
"76","E14000828","New Forest West","E12000008","South East","86,378",49.1626687350946
"77","E14000827","New Forest East","E12000008","South East","93,708",44.8419025056559
"78","E14000786","Lewes","E12000008","South East","93,957",45.7664144236193
"79","E14000762","Isle of Wight","E12000008","South East","141,771",46.4642910045073
"80","E14000719","Guildford","E12000008","South East","116,047",38.458004084552
"81","E14000633","Chichester","E12000008","South East","111,756",45.5423959339991
"82","E14000598","Brighton, Pavilion","E12000008","South East","113,515",35.8045456547593
"83","E14000557","Bexhill and Battle","E12000008","South East","107,015",47.4618885203009
"84","E14000534","Arundel and South Downs","E12000008","South East","102,188",46.5254041570439
"85","E14000706","Fylde","E12000002","North West","86,949",46.03331838204
"86","E14000776","Lancaster and Fleetwood","E12000002","North West","92,885",39.6595575173602
"87","E14000793","Liverpool, Riverside","E12000002","North West","137,260",33.7814658312691
"88","E14000807","Manchester Central","E12000002","North West","167,830",30.940743609605
"89","E14000808","Manchester, Gorton","E12000002","North West","118,957",32.1458510217978
"90","E14000809","Manchester, Withington","E12000002","North West","99,037",35.1837495077597
"91","E14000825","Morecambe and Lunesdale","E12000002","North West","90,073",43.1001743030653
"92","E14000877","Penrith and The Border","E12000002","North West","82,903",46.3882127305405
"93","E14000885","Preston","E12000002","North West","97,005",35.0651822071027
"94","E14000897","Rochdale","E12000002","North West","113,898",37.1063056418901
"95","E14000911","Salford and Eccles","E12000002","North West","123,000",36.8417073170732
"96","E14000916","Sefton Central","E12000002","North West","83,474",46.6625536095071
"97","E14001024","Weaver Vale","E12000002","North West","90,838",41.9928223871067
"98","E14001037","Westmorland and Lonsdale","E12000002","North West","85,354",47.2697471706071
"99","E14000688","Ellesmere Port and Neston","E12000002","North West","88,050",42.5988302101079
"100","E14000627","Cheadle","E12000002","North West","94,308",42.9623467786402
"101","E14000571","Blackley and Broughton","E12000002","North West","123,541",33.609012392647
"102","E14000570","Blackburn","E12000002","North West","110,354",35.7932924950614
"103","E14000620","Carlisle","E12000002","North West","86,843",42.0467164883756
"104","E14000805","Makerfield","E12000002","North West","100,832",41.543408838464
"105","E14001033","West Lancashire","E12000002","North West","98,045",41.8292212759447
"106","E14000871","Oldham West and Royton","E12000002","North West","108,557",36.8392457418683
"107","E14000795","Liverpool, Wavertree","E12000002","North West","95,626",37.6490703365194
"108","E14000579","Bolton South East","E12000002","North West","107,403",36.8648361777604
"109","E14000578","Bolton North East","E12000002","North West","99,119",39.1508994239248
"110","E14000775","Knowsley","E12000002","North West","107,644",39.3863568800862
"111","E14000796","Liverpool, West Derby","E12000002","North West","93,314",39.1176136485415
"112","E14001059","Wythenshawe and Sale East","E12000002","North West","108,377",37.7805807505283
"113","E14001054","Worsley and Eccles South","E12000002","North West","104,424",38.5445012640772
"114","E14000969","Stockport","E12000002","North West","90,111",38.3748487975941
"115","E14000870","Oldham East and Saddleworth","E12000002","North West","107,919",38.4245313614841
"116","E14000794","Liverpool, Walton","E12000002","North West","92,730",38.7619432761782
"117","E14000646","Congleton","E12000002","North West","97,590",44.6549646480172
"118","E14000647","Copeland","E12000002","North West","78,172",44.4965588701837
"119","E14000958","Southport","E12000002","North West","92,490",45.3099470212996
"120","E14001044","Wirral West","E12000002","North West","69,602",45.4097727076808
"121","E14001057","Wyre and Preston North","E12000002","North West","91,724",44.9763638742314
"122","E14001053","Workington","E12000002","North West","79,957",44.1335717948397
"123","E14001043","Wirral South","E12000002","North West","73,333",44.3944745203387
"124","E14000987","Tatton","E12000002","North West","86,457",44.2227350012145
"125","E14000802","Macclesfield","E12000002","North West","93,510",44.5555127793819
"126","E14000686","Eddisbury","E12000002","North West","92,293",43.5878560670907
"127","E14000611","Bury North","E12000002","North West","90,192",40.6421522973213
"128","E14000640","City of Chester","E12000002","North West","97,367",41.3532819127631
