ons_id;ons_region_id;constituency_name;;county_name;region_name;country_name;constituency_type;result;first_party;second_party;electorate;valid_votes;invalid_votes;majority;Anteil Hard_Brexit;Anteil Soft_Brexit;Anteil No_Brexit;Hard Brexit;Soft Brexit;No Brexit;con;lab;ld;brexit;green;snp;pc;dup;sf;sdlp;uup;alliance;other;other_winner
W07000049;W92000004;Aberavon;Aberavon_Wales;West Glamorgan;Wales;Wales;County;Lab hold;Lab;Con;50750;31598;82;10490;31.19%;55.10%;13.71%;9626;17008;4233;6518;17008;1072;3108;450;0;2711;0;0;0;0;0;731;0
W07000058;W92000004;Aberconwy;Aberconwy_Wales;Clwyd;Wales;Wales;County;Con hold;Con;Lab;44699;31865;123;2034;46.09%;39.71%;14.20%;14687;12653;4525;14687;12653;1821;0;0;0;2704;0;0;0;0;0;0;0
S14000001;S92000003;Aberdeen North;Aberdeen North_Scotland;Aberdeen North;Scotland;Scotland;Borough;SNP hold;SNP;Con;62489;37413;72;12670;22.83%;13.20%;63.96%;8543;4939;23931;7535;4939;2846;1008;880;20205;0;0;0;0;0;0;0;0
S14000002;S92000003;Aberdeen South;Aberdeen South_Scotland;Aberdeen South;Scotland;Scotland;Borough;SNP gain from Con;SNP;Con;65719;45638;131;3990;35.93%;8.40%;55.67%;16398;3834;25406;16398;3834;5018;0;0;20388;0;0;0;0;0;0;0;0
S14000003;S92000003;Airdrie and Shotts;Airdrie and Shotts_Scotland;Scotland;Scotland;Scotland;County;SNP hold;SNP;Lab;64011;39772;91;5201;17.63%;32.00%;50.37%;7011;12728;20033;7011;12728;1419;0;685;17929;0;0;0;0;0;0;0;0
E14000530;E12000008;Aldershot;Aldershot_South East;Hampshire;South East;England;Borough;Con hold;Con;Lab;72617;47932;251;16698;58.37%;23.54%;18.09%;27980;11282;8670;27980;11282;6920;0;1750;0;0;0;0;0;0;0;0;0
E14000531;E12000005;Aldridge-Brownhills;Aldridge-Brownhills_West Midlands;West Midlands;West Midlands;England;Borough;Con hold;Con;Lab;60138;39342;152;19836;71.40%;20.55%;8.06%;27850;8014;3142;27850;8014;2371;0;771;0;0;0;0;0;0;0;336;0
E14000532;E12000002;Altrincham and Sale West;Altrincham and Sale West_North West;Greater Manchester;North West;England;Borough;Con hold;Con;Lab;73107;54763;173;6139;48.65%;37.30%;14.06%;26311;20172;7602;26311;20172;6036;0;1566;0;0;0;0;0;0;0;678;0
W07000043;W92000004;Alyn and Deeside;Alyn and Deeside_Wales;Clwyd;Wales;Wales;County;Lab hold;Lab;Con;62789;43008;121;213;48.21%;42.48%;9.30%;20736;18271;4001;18058;18271;2548;2678;0;0;1453;0;0;0;0;0;0;0
E14000533;E12000004;Amber Valley;Amber Valley_East Midlands;Derbyshire;East Midlands;England;County;Con hold;Con;Lab;69976;45567;151;16886;63.85%;26.80%;9.35%;29096;12210;4261;29096;12210;2873;0;1388;0;0;0;0;0;0;0;0;0
S14000004;S92000003;Angus;Angus_Scotland;Scotland;Scotland;Scotland;County;SNP gain from Con;SNP;Con;63952;43170;92;3795;40.35%;4.75%;54.89%;17421;2051;23698;17421;2051;2482;0;0;21216;0;0;0;0;0;0;0;0
W07000057;W92000004;Arfon;Arfon_Wales;Gwynedd;Wales;Wales;County;PC hold;PC;Lab;42215;29074;92;2781;19.22%;35.61%;45.17%;5587;10353;13134;4428;10353;0;1159;0;0;13134;0;0;0;0;0;0;0
S14000005;S92000003;Argyll and Bute;Argyll and Bute_Scotland;Scotland;Scotland;Scotland;County;SNP hold;SNP;Con;66525;48050;142;4110;35.23%;6.76%;58.01%;16930;3248;27872;16930;3248;6832;0;0;21040;0;0;0;0;0;0;0;0
E14000534;E12000008;Arundel and South Downs;Arundel and South Downs_South East;West Sussex;South East;England;County;Con hold;Con;LD;81726;61408;287;22521;58.45%;15.98%;25.58%;35566;9722;15564;35566;9722;13045;0;2519;0;0;0;0;0;0;0;556;0
E14000535;E12000004;Ashfield;Ashfield_East Midlands;Nottinghamshire;East Midlands;England;County;Con gain from Lab;Con;Ashfield Independents;78204;48980;118;5733;61.25%;33.74%;5.01%;21732;11971;1779;19231;11971;1105;2501;674;0;0;0;0;0;0;0;13498;0
E14000536;E12000008;Ashford;Ashford_South East;Kent;South East;England;County;Con hold;Con;Lab;89553;60059;279;24029;62.96%;22.37%;14.67%;37270;13241;8686;37270;13241;6048;0;2638;0;0;0;0;0;0;0;862;0
E14000537;E12000002;Ashton-Under-Lyne;Ashton-Under-Lyne_North West;Greater Manchester;North West;England;Borough;Lab hold;Lab;Con;67978;38579;125;4263;45.19%;48.07%;6.75%;17432;18544;2603;14281;18544;1395;3151;1208;0;0;0;0;0;0;0;0;0
E14000538;E12000008;Aylesbury;Aylesbury_South East;Buckinghamshire;South East;England;County;Con hold;Con;Lab;86665;60576;279;17373;54.04%;25.36%;20.59%;32737;15364;12475;32737;15364;10081;0;2394;0;0;0;0;0;0;0;0;0
S14000006;S92000003;Ayr, Carrick and Cumnock;Ayr, Carrick and Cumnock_Scotland;Scotland;Scotland;Scotland;County;SNP gain from Con;SNP;Con;71970;46592;138;2329;38.51%;13.35%;48.14%;17943;6219;22430;17943;6219;2158;0;0;20272;0;0;0;0;0;0;0;0
E14000539;E12000008;Banbury;Banbury_South East;Oxfordshire;South East;England;County;Con hold;Con;Lab;90116;62921;355;16813;54.27%;27.55%;18.18%;34148;17335;11438;34148;17335;8831;0;2607;0;0;0;0;0;0;0;0;0
S14000007;S92000003;Banff and Buchan;Banff and Buchan_Scotland;Scotland;Scotland;Scotland;County;Con hold;Con;SNP;66655;42260;96;4118;50.12%;4.10%;45.77%;21182;1734;19344;21182;1734;2280;0;0;17064;0;0;0;0;0;0;0;0
E14000540;E12000007;Barking;Barking_London;London;London;England;Borough;Lab hold;Lab;Con;77953;44499;120;15427;33.66%;61.17%;5.17%;14978;27219;2302;11792;27219;1482;3186;820;0;0;0;0;0;0;0;0;0
E14000541;E12000003;Barnsley Central;Barnsley Central_Yorkshire and The Humber;South Yorkshire;Yorkshire and The Humber;England;Borough;Lab hold;Lab;Brexit;65277;36903;105;3571;53.12%;41.12%;5.77%;19125;14804;2076;7892;14804;1176;11233;900;0;0;0;0;0;0;0;898;0
E14000542;E12000003;Barnsley East;Barnsley East_Yorkshire and The Humber;South Yorkshire;Yorkshire and The Humber;England;County;Lab hold;Lab;Brexit;69504;38070;110;3217;56.45%;37.64%;5.92%;21489;14329;2252;10377;14329;1330;11112;922;0;0;0;0;0;0;0;0;0
E14000543;E12000002;Barrow and Furness;Barrow and Furness_North West;Cumbria;North West;England;County;Con gain from Lab Coop;Con;Lab;70158;46046;92;5789;54.80%;39.28%;5.92%;25231;18087;2728;23876;18087;2025;1355;703;0;0;0;0;0;0;0;0;0
E14000544;E12000006;Basildon and Billericay;Basildon and Billericay_East;Essex;East;England;Borough;Con hold;Con;Lab;69906;44128;185;20412;67.40%;20.90%;11.70%;29590;9178;5136;29590;9178;3741;0;1395;0;0;0;0;0;0;0;224;0
E14000545;E12000008;Basingstoke;Basingstoke_South East;Hampshire;South East;England;Borough;Con hold;Con;Lab;82928;54713;244;14198;54.84%;28.53%;16.64%;29593;15395;8979;29593;15395;6841;0;2138;0;0;0;0;0;0;0;746;0
E14000546;E12000004;Bassetlaw;Bassetlaw_East Midlands;Nottinghamshire;East Midlands;England;County;Con gain from Lab;Con;Lab;80024;50841;211;14013;65.78%;27.66%;6.55%;33444;14065;3332;28078;14065;3332;5366;0;0;0;0;0;0;0;0;0;0
E14000547;E12000009;Bath;Bath_South West;Avon;South West;England;Borough;LD hold;LD;Con;67805;52138;192;12322;32.32%;12.82%;54.87%;16739;6639;28419;16097;6639;28419;642;0;0;0;0;0;0;0;0;341;0
E14000548;E12000003;Batley and Spen;Batley and Spen_Yorkshire and The Humber;West Yorkshire;Yorkshire and The Humber;England;Borough;Lab hold;Lab;Con;79558;52927;104;3525;44.62%;48.59%;6.78%;20747;22594;3154;19069;22594;2462;1678;692;0;0;0;0;0;0;0;6432;0
E14000549;E12000007;Battersea;Battersea_London;London;London;England;Borough;Lab hold;Lab;Con;79350;59977;157;5668;36.69%;45.50%;17.81%;22008;27290;10679;21622;27290;9150;386;1529;0;0;0;0;0;0;0;0;0
E14000550;E12000008;Beaconsfield;Beaconsfield_South East;Buckinghamshire;South East;England;County;Con hold;Con;Ind;77720;57868;167;15712;80.66%;14.29%;5.05%;32477;5756;2033;32477;5756;0;0;2033;0;0;0;0;0;0;0;17602;0
E14000551;E12000007;Beckenham;Beckenham_London;London;London;England;Borough;Con hold;Con;Lab;68662;50555;236;14258;53.96%;25.76%;20.27%;27282;13024;10249;27282;13024;8194;0;2055;0;0;0;0;0;0;0;0;0
E14000552;E12000006;Bedford;Bedford_East;Bedfordshire;East;England;Borough;Lab hold;Lab;Con;71581;47301;140;145;44.91%;43.32%;11.77%;21242;20491;5568;20346;20491;4608;896;960;0;0;0;0;0;0;0;0;0
N06000001;N92000002;Belfast East;Belfast East_Northern Ireland;Belfast ;Northern Ireland;Northern Ireland;Borough;DUP hold;DUP;Alliance;66245;42445;169;1819;0.00%;55.11%;44.89%;0;23390;19055;0;0;0;0;0;0;0;20874;0;0;2516;19055;0;0
N06000002;N92000002;Belfast North;Belfast North_Northern Ireland;Belfast;Northern Ireland;Northern Ireland;Borough;SF gain from DUP;SF;DUP;72225;49037;388;1943;0.00%;43.10%;56.90%;0;21135;27902;0;0;0;0;0;0;0;21135;23078;0;0;4824;0;0
N06000003;N92000002;Belfast South;Belfast South_Northern Ireland;Belfast;Northern Ireland;Northern Ireland;Borough;SDLP gain from DUP;SDLP;DUP;69984;47352;172;15401;0.00%;27.64%;72.36%;0;12937;33865;0;0;0;0;0;0;0;11678;0;27079;1259;6786;550;0
N06000004;N92000002;Belfast West;Belfast West_Northern Ireland;Belfast;Northern Ireland;Northern Ireland;Borough;SF hold;SF;PBPA;65644;38782;206;14672;0.00%;16.86%;83.14%;0;5220;25733;0;0;0;0;0;0;0;5220;20866;2985;0;1882;7829;0
E14000553;E12000007;Bermondsey and Old Southwark;Bermondsey and Old Southwark_London;London;London;England;Borough;Lab hold;Lab;LD;93248;58615;276;16126;19.27%;54.12%;26.61%;11295;31723;15597;9678;31723;15597;1617;0;0;0;0;0;0;0;0;0;0
S14000008;S92000003;Berwickshire, Roxburgh and Selkirk;Berwickshire, Roxburgh and Selkirk_Scotland;Scotland;Scotland;Scotland;County;Con hold;Con;SNP;74518;53146;170;5148;48.45%;4.73%;46.83%;25747;2513;24886;25747;2513;4287;0;0;20599;0;0;0;0;0;0;0;0
E14000554;E12000001;Berwick-Upon-Tweed;Berwick-Upon-Tweed_North East;Northumberland;North East;England;County;Con hold;Con;Lab;59939;42109;178;14835;56.87%;21.64%;21.49%;23947;9112;9050;23947;9112;7656;0;1394;0;0;0;0;0;0;0;0;0
E14000555;E12000007;Bethnal Green and Bow;Bethnal Green and Bow_London;London;London;England;Borough;Lab hold;Lab;Con;88262;60562;240;37524;12.66%;73.27%;14.07%;7609;44052;8462;6528;44052;5892;1081;2570;0;0;0;0;0;0;0;439;0
E14000556;E12000003;Beverley and Holderness;Beverley and Holderness_Yorkshire and The Humber;Humberside;Yorkshire and The Humber;England;County;Con hold;Con;Lab;79696;53542;248;20448;63.82%;24.57%;11.61%;33250;12802;6049;33250;12802;4671;0;1378;0;0;0;0;0;0;0;1441;0
E14000557;E12000008;Bexhill and Battle;Bexhill and Battle_South East;East Sussex;South East;England;County;Con hold;Con;Lab;81963;59093;352;26059;63.61%;19.51%;16.88%;37590;11531;9972;37590;11531;7280;0;2692;0;0;0;0;0;0;0;0;0
E14000558;E12000007;Bexleyheath and Crayford;Bexleyheath and Crayford_London;London;London;England;Borough;Con hold;Con;Lab;65466;43246;167;13103;60.52%;29.85%;9.64%;25856;12753;4117;25856;12753;2819;0;1298;0;0;0;0;0;0;0;520;0
E14000559;E12000002;Birkenhead;Birkenhead_North West;Merseyside;North West;England;Borough;Lab hold;Lab;Birkenhead Social Justice Party;63762;42329;73;17705;20.06%;71.31%;8.63%;7029;24990;3025;5540;24990;1620;1489;1405;0;0;0;0;0;0;0;7285;0
E14000560;E12000005;Birmingham, Edgbaston;Birmingham, Edgbaston_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;68828;42328;149;5614;39.34%;50.13%;10.54%;16650;21217;4461;15603;21217;3349;1047;1112;0;0;0;0;0;0;0;0;0
E14000561;E12000005;Birmingham, Erdington;Birmingham, Erdington_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;66148;35229;92;3601;44.17%;50.30%;5.53%;15560;17720;1949;14119;17720;1301;1441;648;0;0;0;0;0;0;0;0;0
E14000562;E12000005;Birmingham, Hall Green;Birmingham, Hall Green_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;80283;52911;180;28508;16.98%;73.79%;9.23%;8258;35889;4491;7381;35889;3673;877;818;0;0;0;0;0;0;0;4273;0
E14000563;E12000005;Birmingham, Hodge Hill;Birmingham, Hodge Hill_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;78295;45003;131;28655;18.46%;79.11%;2.43%;8261;35397;1088;6742;35397;760;1519;328;0;0;0;0;0;0;0;257;0
E14000564;E12000005;Birmingham, Ladywood;Birmingham, Ladywood_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;74912;42118;153;28582;13.31%;79.19%;7.50%;5604;33355;3159;4773;33355;2228;831;931;0;0;0;0;0;0;0;0;0
E14000565;E12000005;Birmingham, Northfield;Birmingham, Northfield_West Midlands;West Midlands;West Midlands;England;Borough;Con gain from Lab;Con;Lab;73694;43098;140;1640;50.44%;42.75%;6.80%;21612;18317;2915;19957;18317;1961;1655;954;0;0;0;0;0;0;0;254;0
E14000566;E12000005;Birmingham, Perry Barr;Birmingham, Perry Barr_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;72006;42147;115;15317;30.14%;63.32%;6.54%;12659;26594;2746;11277;26594;1901;1382;845;0;0;0;0;0;0;0;148;0
E14000567;E12000005;Birmingham, Selly Oak;Birmingham, Selly Oak_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;82665;49467;160;12414;33.83%;56.03%;10.14%;16736;27714;5017;15300;27714;3169;1436;1848;0;0;0;0;0;0;0;0;0
E14000568;E12000005;Birmingham, Yardley;Birmingham, Yardley_West Midlands;West Midlands;West Midlands;England;Borough;Lab hold;Lab;Con;74704;42678;107;10659;35.07%;54.78%;10.15%;14966;23379;4333;12720;23379;3754;2246;579;0;0;0;0;0;0;0;0;0
