"","PCON19NM","density","PCON19CD","log_density"
"1","Aldershot",19.8606219161844,"E14000530",2.98873897314104
"2","Aldridge-Brownhills",17.6565606079538,"E14000531",2.87110742014689
"3","Altrincham and Sale West",20.0899264684227,"E14000532",3.00021851871177
"4","Amber Valley",7.36876476175806,"E14000533",1.99725008859356
"5","Arundel and South Downs",1.58373649481366,"E14000534",0.459786925269521
"6","Ashfield",9.98321446675295,"E14000535",2.30090512932026
"7","Ashford",2.47502097096824,"E14000536",0.906248869103237
"8","Ashton-under-Lyne",33.6426538476761,"E14000537",3.51579472163867
"9","Aylesbury",6.7740194363009,"E14000538",1.91309462364167
"10","Banbury",2.71642710392564,"E14000539",0.999317452092289
"11","Barking",69.0600624406667,"E14000540",4.23497659611242
"12","Barnsley Central",19.0520492209983,"E14000541",2.94717466644348
"13","Barnsley East",10.9999539191742,"E14000542",2.39789108362362
"14","Barrow and Furness",3.08482477215635,"E14000543",1.12649485579485
"15","Basildon and Billericay",16.0895342485767,"E14000544",2.77816901394622
"16","Basingstoke",19.5457569811731,"E14000545",2.97275822866495
"17","Bassetlaw",2.25359931498422,"E14000546",0.812528633614866
"18","Bath",34.0091715924744,"E14000547",3.52663024095927
"19","Batley and Spen",20.3062823849489,"E14000548",3.01093031526066
"20","Battersea",116.931819287542,"E14000549",4.76159102380603
"21","Beaconsfield",5.82694534575698,"E14000550",1.76249290863471
"22","Beckenham",27.0404212931682,"E14000551",3.29733283142204
"23","Bedford",31.4898406562323,"E14000552",3.44966497496143
"24","Bermondsey and Old Southwark",142.754276290558,"E14000553",4.96112480458871
"25","Berwick-upon-Tweed",0.320215246389986,"E14000554",-1.13876186434389
"26","Bethnal Green and Bow",166.929967160173,"E14000555",5.11757436613915
"27","Beverley and Holderness",1.2989927315817,"E14000556",0.261589142277661
"28","Bexhill and Battle",2.0317497083329,"E14000557",0.708897347096546
"29","Bexleyheath and Crayford",44.0668482457885,"E14000558",3.78570775929594
"30","Birkenhead",36.0852032753343,"E14000559",3.58588289974474
"31","Birmingham, Edgbaston",37.3889367592841,"E14000560",3.62137485208521
"32","Birmingham, Erdington",47.3527864451056,"E14000561",3.85762566573812
"33","Birmingham, Hall Green",60.5437796896309,"E14000562",4.10336673457552
"34","Birmingham, Hodge Hill",62.9493316694128,"E14000563",4.14233014358591
"35","Birmingham, Ladywood",57.9747523791027,"E14000564",4.06000761196564
"36","Birmingham, Northfield",42.3598730802571,"E14000565",3.74620152451193
"37","Birmingham, Perry Barr",45.0489592636398,"E14000566",3.8077498819815
"38","Birmingham, Selly Oak",50.585804469759,"E14000567",3.92367099285766
"39","Birmingham, Yardley",50.1549904264116,"E14000568",3.91511801945539
"40","Bishop Auckland",0.976433655310169,"E14000569",-0.0238484722841499
"41","Blackburn",27.3531263477774,"E14000570",3.30883083121191
"42","Blackley and Broughton",43.8835606706451,"E14000571",3.78153977775403
"43","Blackpool North and Cleveleys",36.1229666175044,"E14000572",3.58692885744368
"44","Blackpool South",39.4723829303269,"E14000573",3.67560126105548
"45","Blaydon",7.94536068924572,"E14000574",2.07258819722702
"46","Blyth Valley",12.0597339758297,"E14000575",2.48987213266683
"47","Bognor Regis and Littlehampton",17.6125583041982,"E14000576",2.86861218760673
"48","Bolsover",4.4301485608786,"E14000577",1.4884331186818
"49","Bolton North East",27.5764885249824,"E14000578",3.31696354464302
"50","Bolton South East",29.1664177361626,"E14000579",3.3730179698989
"51","Bolton West",13.4747790317389,"E14000580",2.60081971827388
"52","Bootle",38.8668761318083,"E14000581",3.66014237455987
"53","Boston and Skegness",1.53249811174088,"E14000582",0.426899156684486
"54","Bosworth",3.67729964859644,"E14000583",1.30217869168207
"55","Bournemouth East",41.6294236305595,"E14000584",3.72880721606082
"56","Bournemouth West",38.6887284661972,"E14000585",3.65554830350959
"57","Bracknell",15.2369206468984,"E14000586",2.72372147255204
"58","Bradford East",42.1592917865941,"E14000587",3.74145510586133
"59","Bradford South",24.6235070305656,"E14000588",3.20370155701981
"60","Bradford West",33.9572640114855,"E14000589",3.52510279316479
"61","Braintree",2.16840392920686,"E14000590",0.773991380432871
"62","Brent Central",81.3739055296389,"E14000591",4.39905465072571
"63","Brent North",65.463597662169,"E14000592",4.18149422726597
"64","Brentford and Isleworth",52.2156522271263,"E14000593",3.95538230103661
"65","Brentwood and Ongar",3.06391671850184,"E14000594",1.11969407086333
"66","Bridgwater and West Somerset",1.05926506839153,"E14000595",0.0575753359522886
"67","Brigg and Goole",1.39453743016918,"E14000596",0.332562769008209
"68","Brighton, Kemptown",24.330985915493,"E14000597",3.19175067860051
"69","Brighton, Pavilion",39.0920142296791,"E14000598",3.66591820648141
"70","Bristol East",42.5179680118774,"E14000599",3.74992676333552
"71","Bristol North West",24.0104310504847,"E14000600",3.17848836302847
"72","Bristol South",46.2105922755164,"E14000601",3.83320904184216
"73","Bristol West",82.9127801754142,"E14000602",4.41778921401574
"74","Broadland",1.30619292024509,"E14000603",0.2671167383562
"75","Bromley and Chislehurst",32.8276954883639,"E14000604",3.49127253375161
"76","Bromsgrove",4.603479306904,"E14000605",1.5268123886567
"77","Broxbourne",15.3466545836287,"E14000606",2.73089750784569
"78","Broxtowe",15.0106550175861,"E14000607",2.7087602834398
"79","Buckingham",1.24729813013707,"E14000608",0.220979716019942
"80","Burnley",8.03368147157674,"E14000609",2.08364288760029
"81","Burton",4.4584437932355,"E14000610",1.49479977985986
"82","Bury North",17.6801645067639,"E14000611",2.87244336184743
"83","Bury South",20.8058290503024,"E14000612",3.03523319024959
"84","Bury St Edmunds",2.36844909507557,"E14000613",0.862235350676806
